,report_name,company_id,company_name,period_year,season,acct_name,this_year_amt,this_year_percent,last_year_amt,last_year_percent,creation_date,seq
204,BalanceSheet,1104,環泥,112,1,其他流動負債,306167.0,1.09,22970.0,0.08,2024-04-10 14:18:03,39
205,BalanceSheet,1104,環泥,112,1,流動負債合計,4538157.0,16.13,4751310.0,17.08,2024-04-10 14:18:03,40
206,BalanceSheet,1104,環泥,112,1,非流動負債,0.0,0.0,0.0,0.0,2024-04-10 14:18:03,41
207,BalanceSheet,1104,環泥,112,1,遞延所得稅負債,1305060.0,4.64,1305718.0,4.69,2024-04-10 14:18:03,42
208,BalanceSheet,1104,環泥,112,1,租賃負債－非流動,206752.0,0.73,218710.0,0.79,2024-04-10 14:18:03,43
209,BalanceSheet,1104,環泥,112,1,其他非流動負債,9349.0,0.03,9679.0,0.03,2024-04-10 14:18:03,44
210,BalanceSheet,1104,環泥,112,1,非流動負債合計,1521161.0,5.41,1534107.0,5.52,2024-04-10 14:18:03,45
211,BalanceSheet,1104,環泥,112,1,負債總額,6059318.0,21.54,6285417.0,22.6,2024-04-10 14:18:03,46
212,BalanceSheet,1104,環泥,112,1,歸屬於母公司業主之權益,0.0,0.0,0.0,0.0,2024-04-10 14:18:03,47
213,BalanceSheet,1104,環泥,112,1,股本,0.0,0.0,0.0,0.0,2024-04-10 14:18:03,48
214,BalanceSheet,1104,環泥,112,1,普通股股本,6536092.0,23.23,6536092.0,23.5,2024-04-10 14:18:03,49
215,BalanceSheet,1104,環泥,112,1,股本合計,6536092.0,23.23,6536092.0,23.5,2024-04-10 14:18:04,50
216,BalanceSheet,1104,環泥,112,1,資本公積,0.0,0.0,0.0,0.0,2024-04-10 14:18:04,51
217,BalanceSheet,1104,環泥,112,1,資本公積合計,123499.0,0.44,123499.0,0.44,2024-04-10 14:18:04,52
218,BalanceSheet,1104,環泥,112,1,保留盈餘,0.0,0.0,0.0,0.0,2024-04-10 14:18:04,53
219,BalanceSheet,1104,環泥,112,1,法定盈餘公積,2715883.0,9.65,2715883.0,9.77,2024-04-10 14:18:04,54
